neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Brooklyn,Borough Park,40.6311,-74.00445,Private room,1,9,2016-08-09,0.24,1,0,35
Queens,Glendale,40.70002,-73.89364,Private room,7,1,2018-10-20,0.11,1,365,35
Brooklyn,Mill Basin,40.60903,-73.91846,Entire home/apt,1,5,2019-07-07,1.7,1,360,250
Brooklyn,Greenpoint,40.72888,-73.94486,Entire home/apt,3,3,2017-10-31,0.08,13,74,129
Manhattan,Little Italy,40.71878,-73.99808,Entire home/apt,1,0,,,1,23,202
Manhattan,Hell's Kitchen,40.7594,-73.99748,Private room,4,10,2019-06-15,0.91,3,365,180
Brooklyn,Williamsburg,40.71936,-73.96436,Entire home/apt,30,0,,,6,239,195
Manhattan,Chelsea,40.75206,-73.99829,Entire home/apt,3,43,2019-06-29,2.34,1,63,200
Brooklyn,Greenpoint,40.72831,-73.95634,Entire home/apt,3,2,2018-03-23,0.11,1,0,250
Manhattan,Upper East Side,40.77467,-73.95405,Entire home/apt,30,7,2019-02-08,0.21,9,331,100
Brooklyn,Bedford-Stuyvesant,40.69049,-73.93014,Entire home/apt,2,91,2019-06-21,4.4,2,272,124
Queens,Queens Village,40.71412,-73.73008,Entire home/apt,1,113,2019-07-07,2.79,1,346,59
Queens,Elmhurst,40.73931,-73.88823,Private room,1,2,2019-01-01,0.17,4,0,54
Manhattan,East Village,40.72625,-73.98173,Entire home/apt,3,4,2015-12-05,0.09,1,0,235
Manhattan,East Harlem,40.80174,-73.93925,Private room,2,60,2019-06-29,1.05,2,271,69
Brooklyn,Bedford-Stuyvesant,40.69217,-73.93191,Private room,30,0,,,1,44,35
Brooklyn,Bensonhurst,40.61448,-74.00486,Entire home/apt,2,24,2019-04-21,0.64,1,14,121
Brooklyn,Canarsie,40.6307,-73.89567,Private room,1,3,2019-07-06,1.76,5,365,120
Brooklyn,Bedford-Stuyvesant,40.69043,-73.95587,Private room,2,2,2019-03-30,0.42,1,33,75
Manhattan,Harlem,40.80057,-73.9556,Private room,3,44,2019-05-26,1.15,1,80,130
Manhattan,Lower East Side,40.71246,-73.99069,Private room,2,10,2019-06-16,2.34,1,75,355
Manhattan,East Village,40.7229,-73.98199,Private room,2,245,2019-06-21,2.08,2,96,68
Manhattan,Harlem,40.8118,-73.94434,Private room,1,189,2019-06-11,1.82,5,253,92
Manhattan,Harlem,40.80009,-73.95313,Entire home/apt,3,1,2015-09-07,0.02,1,0,130
Bronx,Baychester,40.8694,-73.84171,Entire home/apt,2,11,2019-06-30,3.4,1,46,101
Queens,Ridgewood,40.7018,-73.89643,Private room,1,16,2018-11-23,1.54,1,0,80
Brooklyn,Brownsville,40.66819,-73.92394,Private room,2,5,2019-05-05,0.25,2,46,70
Manhattan,Midtown,40.74945,-73.98762,Private room,1,58,2019-06-25,6.72,2,0,119
Manhattan,East Harlem,40.79733,-73.93955,Entire home/apt,1,221,2019-06-28,5.53,1,348,110
Manhattan,Harlem,40.81435,-73.94588,Private room,2,1,2016-07-20,0.03,1,0,52
Brooklyn,Greenpoint,40.72891,-73.95345,Entire home/apt,2,37,2019-06-29,3.84,1,229,225
Manhattan,Midtown,40.75982,-73.96521,Entire home/apt,4,3,2015-04-28,0.04,1,0,125
Manhattan,Upper West Side,40.79977,-73.96198,Private room,5,4,2019-03-17,0.59,1,3,55
Brooklyn,Williamsburg,40.71439,-73.96256,Private room,7,4,2017-07-18,0.11,1,0,50
Brooklyn,Bedford-Stuyvesant,40.68266,-73.91819,Entire home/apt,5,1,2015-08-27,0.02,1,0,99
Manhattan,East Harlem,40.78645,-73.94873,Entire home/apt,30,0,,,2,311,150
Brooklyn,Fort Greene,40.68892,-73.97749,Entire home/apt,2,11,2019-06-13,1.46,1,0,150
Queens,Glendale,40.70116,-73.88935,Private room,1,61,2019-07-02,3.52,6,274,45
Manhattan,Midtown,40.76479,-73.98307,Private room,1,0,,,6,299,100
Brooklyn,Carroll Gardens,40.68177,-73.99393,Entire home/apt,1,1,2015-12-06,0.02,1,0,150
Brooklyn,Bedford-Stuyvesant,40.68656,-73.95348,Entire home/apt,3,220,2019-06-23,3.11,2,0,130
Bronx,Pelham Gardens,40.86686,-73.84207,Private room,1,16,2019-01-21,0.61,4,3,35
Queens,Long Island City,40.75469,-73.92822,Private room,1,23,2019-07-01,1.25,2,93,99
Brooklyn,Sunset Park,40.65413,-74.00242,Entire home/apt,2,19,2019-06-09,0.99,2,15,180
Queens,Douglaston,40.75573,-73.72931,Private room,1,17,2019-06-06,0.82,5,325,45
Queens,Astoria,40.76294,-73.91545,Private room,2,5,2019-07-07,5.0,1,2,65
Queens,Ridgewood,40.70136,-73.89608,Private room,1,4,2015-10-24,0.09,1,0,52
Brooklyn,Windsor Terrace,40.65193,-73.97743,Entire home/apt,3,1,2017-11-25,0.05,1,194,300
Manhattan,Upper West Side,40.79829,-73.97266,Entire home/apt,30,0,,,1,1,174
Brooklyn,Carroll Gardens,40.68285,-73.99495,Entire home/apt,5,1,2016-07-05,0.03,1,0,125
Brooklyn,Bushwick,40.70322,-73.92913,Private room,1,16,2019-06-15,0.32,5,345,110
Manhattan,East Village,40.72759,-73.98047,Private room,3,6,2018-07-15,0.44,1,0,97
Brooklyn,Bedford-Stuyvesant,40.68567,-73.95146,Entire home/apt,1,8,2018-11-18,0.47,2,21,79
Manhattan,Harlem,40.8114,-73.9431,Entire home/apt,5,16,2019-06-23,3.22,1,3,150
Manhattan,Harlem,40.81128,-73.94117,Entire home/apt,3,82,2019-06-30,1.38,1,35,85
Brooklyn,Park Slope,40.66912,-73.97493,Entire home/apt,5,6,2019-06-30,0.74,1,0,150
Queens,Long Island City,40.75296,-73.93716,Entire home/apt,2,182,2019-06-11,2.2,1,272,350
Brooklyn,Bushwick,40.7043,-73.92491,Entire home/apt,7,0,,,1,0,117
Brooklyn,Williamsburg,40.7107,-73.95785,Private room,2,13,2019-05-18,1.79,3,335,105
Brooklyn,Bedford-Stuyvesant,40.69425,-73.95081,Private room,1,0,,,1,0,30
Brooklyn,Williamsburg,40.71493,-73.94502,Private room,1,9,2017-10-07,0.38,1,0,120
Brooklyn,Bedford-Stuyvesant,40.68104,-73.94031,Entire home/apt,2,38,2019-06-01,2.04,1,0,60
Brooklyn,Bedford-Stuyvesant,40.6843,-73.91985,Entire home/apt,3,47,2019-06-24,4.88,2,23,89
Queens,East Elmhurst,40.76109,-73.88898,Private room,2,32,2019-07-06,2.86,2,236,40
Queens,Rosedale,40.65377,-73.73087,Private room,15,38,2018-06-24,1.4,5,311,35
Brooklyn,Greenpoint,40.73343,-73.95282,Private room,2,0,,,1,0,140
Manhattan,Financial District,40.70721,-74.00559,Entire home/apt,29,0,,,327,332,100
Bronx,Wakefield,40.89637,-73.8555,Private room,1,10,2019-06-18,2.73,1,15,39
Brooklyn,Greenpoint,40.72684,-73.94002,Entire home/apt,4,0,,,1,0,109
Queens,Woodhaven,40.69389,-73.86823,Entire home/apt,3,0,,,6,232,140
Manhattan,Harlem,40.82332,-73.94705,Private room,3,4,2016-09-05,0.11,1,0,40
Queens,Sunnyside,40.7372,-73.919,Private room,5,12,2018-05-11,0.34,1,76,65
Queens,Sunnyside,40.74793,-73.92034,Private room,4,0,,,1,69,55
Manhattan,Upper West Side,40.77824,-73.98255,Private room,1,30,2019-07-01,4.69,4,49,129
