neighbourhood_group,neighbourhood,latitude,longitude,room_type,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,price
Manhattan,Hell's Kitchen,40.76244,-73.99271,Entire home/apt,5,10,2019-07-01,1.01,1,0,195
Brooklyn,Bedford-Stuyvesant,40.69546,-73.93503,Private room,2,11,2017-11-13,0.48,1,0,80
Queens,Middle Village,40.71722,-73.87856,Entire home/apt,30,33,2015-05-09,0.31,5,240,98
Queens,Ridgewood,40.70234,-73.89816,Private room,7,6,2015-10-08,0.06,5,365,140
Queens,Middle Village,40.71546,-73.87854,Entire home/apt,7,38,2019-04-27,0.38,5,365,265
Brooklyn,Williamsburg,40.7195,-73.95976,Entire home/apt,2,358,2019-06-20,3.44,2,164,249
Manhattan,Hell's Kitchen,40.76548,-73.98474,Shared room,6,10,2014-01-07,0.09,1,363,105
Manhattan,Harlem,40.80234,-73.95603,Private room,30,0,,,1,365,200
Brooklyn,Prospect Heights,40.6787,-73.97262,Private room,2,226,2019-06-06,2.12,3,250,100
Manhattan,Harlem,40.81035,-73.94598,Entire home/apt,1,104,2019-06-22,1.0,5,247,121
Bronx,Highbridge,40.83075,-73.93058,Private room,1,138,2019-06-30,1.45,3,323,45
Manhattan,East Harlem,40.79958,-73.94275,Private room,5,204,2019-06-23,1.92,1,192,100
Brooklyn,Williamsburg,40.71625,-73.93845,Entire home/apt,2,253,2019-07-02,3.04,1,125,140
Brooklyn,Bedford-Stuyvesant,40.6829,-73.93549,Private room,2,23,2019-07-01,0.22,1,91,71
Manhattan,NoHo,40.72773,-73.99134,Private room,2,115,2018-12-05,1.17,1,75,130
Manhattan,West Village,40.72861,-74.0049,Entire home/apt,5,129,2019-05-19,1.22,1,286,199
Brooklyn,Williamsburg,40.70979,-73.95162,Private room,4,82,2019-06-10,1.13,2,60,69
Brooklyn,Fort Greene,40.68656,-73.97525,Private room,3,37,2018-12-31,0.35,1,0,68
Manhattan,East Village,40.72752,-73.98432,Entire home/apt,1,204,2019-07-01,2.04,1,192,130
Brooklyn,Greenpoint,40.729,-73.95829,Entire home/apt,2,69,2019-06-13,0.65,1,58,195
Manhattan,Harlem,40.81219,-73.94499,Private room,1,192,2019-06-03,1.84,5,245,64
Queens,Ditmars Steinway,40.77185,-73.90502,Entire home/apt,2,17,2019-06-17,0.16,1,292,140
Brooklyn,Cobble Hill,40.68926,-73.99386,Entire home/apt,2,222,2019-06-24,2.12,1,279,159
Manhattan,East Village,40.72821,-73.98701,Entire home/apt,3,205,2019-06-23,1.96,1,0,189
Manhattan,Hell's Kitchen,40.7672,-73.98508,Entire home/apt,3,94,2019-06-09,0.96,1,3,250
Manhattan,East Village,40.73012,-73.99053,Entire home/apt,3,7,2019-05-24,0.07,1,351,239
Manhattan,Flatiron District,40.7403,-73.98498,Entire home/apt,2,108,2019-06-30,1.09,1,201,305
Manhattan,Harlem,40.80931,-73.94343,Entire home/apt,3,222,2019-06-26,2.1,2,232,155
Manhattan,Harlem,40.8251,-73.94287,Private room,1,458,2019-07-03,4.58,2,258,60
Brooklyn,Windsor Terrace,40.6585,-73.98397,Private room,2,21,2019-05-17,0.26,1,272,135
Manhattan,Roosevelt Island,40.76193,-73.9501,Private room,7,17,2019-05-08,0.3,1,341,120
Manhattan,Lower East Side,40.72052,-73.98589,Entire home/apt,3,41,2019-01-02,0.39,1,244,150
Queens,Ridgewood,40.70411,-73.89934,Entire home/apt,14,1,2012-09-17,0.01,5,365,140
Brooklyn,Greenpoint,40.73401,-73.95967,Entire home/apt,2,69,2019-05-19,0.67,1,12,135
Manhattan,Chinatown,40.71756,-73.99503,Entire home/apt,4,18,2019-07-01,0.18,2,265,250
Manhattan,Midtown,40.7589,-73.96991,Entire home/apt,30,82,2016-01-05,0.78,1,0,250
Manhattan,SoHo,40.72003,-74.00262,Entire home/apt,4,94,2019-06-23,0.99,1,329,500
Manhattan,Greenwich Village,40.73194,-73.99474,Entire home/apt,5,10,2019-05-11,0.1,1,91,225
Manhattan,East Harlem,40.79163,-73.94573,Entire home/apt,28,183,2018-09-29,1.83,2,365,125
Manhattan,Harlem,40.8118,-73.94434,Private room,1,189,2019-06-11,1.82,5,253,92
Manhattan,Harlem,40.81583,-73.94707,Private room,2,1,2018-10-07,0.11,1,365,175
Manhattan,East Village,40.72654,-73.98049,Entire home/apt,2,127,2019-06-20,1.22,1,320,99
Manhattan,Upper West Side,40.80021,-73.96071,Entire home/apt,4,4,2017-08-25,0.04,1,0,195
Manhattan,East Harlem,40.80942,-73.93936,Entire home/apt,3,135,2019-06-20,1.3,3,192,140
Manhattan,Little Italy,40.71961,-73.9954,Entire home/apt,2,21,2015-12-12,0.2,1,0,135
Manhattan,Chelsea,40.74358,-74.00027,Entire home/apt,2,35,2017-07-27,0.34,1,348,500
Manhattan,Harlem,40.80335,-73.9575,Private room,14,10,2019-06-01,2.21,2,0,80
Manhattan,Chinatown,40.71445,-73.9908,Private room,4,171,2019-06-23,1.8,2,353,120
Brooklyn,East Flatbush,40.64446,-73.9503,Entire home/apt,3,238,2019-06-14,2.3,1,2,65
Brooklyn,Bushwick,40.688,-73.9171,Entire home/apt,3,111,2019-06-22,2.13,1,68,99
Staten Island,Tompkinsville,40.63536,-74.08537,Private room,2,193,2019-06-25,1.85,6,360,36
Staten Island,Tompkinsville,40.63627,-74.08543,Private room,2,147,2019-06-10,1.44,6,0,37
Staten Island,Tompkinsville,40.63518,-74.08546,Private room,2,177,2019-07-02,1.71,6,320,37
Manhattan,East Village,40.72477,-73.98161,Entire home/apt,3,185,2019-05-24,1.78,2,326,175
Manhattan,Chelsea,40.74238,-73.99567,Entire home/apt,9,62,2019-06-21,0.7,2,76,205
Brooklyn,Greenpoint,40.72945,-73.95511,Entire home/apt,3,124,2019-06-16,1.22,3,279,285
Brooklyn,Williamsburg,40.70763,-73.95177,Private room,2,181,2019-06-23,1.77,2,15,59
Staten Island,Tompkinsville,40.63481,-74.08519,Private room,2,333,2019-07-02,3.19,6,340,36
Queens,Astoria,40.75384,-73.91433,Entire home/apt,5,441,2019-06-24,4.5,1,226,99
Brooklyn,Kensington,40.64106,-73.97426,Private room,1,45,2019-05-16,0.46,2,365,39
Brooklyn,Park Slope,40.66793,-73.98327,Private room,14,9,2016-08-29,0.09,2,0,60
Bronx,Clason Point,40.81309,-73.85514,Private room,2,0,,,7,349,90
Bronx,Eastchester,40.88057,-73.83572,Entire home/apt,2,38,2019-06-27,0.5,13,365,105
Brooklyn,Bedford-Stuyvesant,40.68236,-73.94314,Entire home/apt,2,248,2019-06-25,2.39,2,11,135
Manhattan,East Village,40.72185,-73.98246,Entire home/apt,5,143,2019-06-19,1.38,2,316,390
Brooklyn,Bedford-Stuyvesant,40.68503,-73.95385,Private room,3,36,2018-08-19,0.41,4,281,70
Manhattan,Inwood,40.86648,-73.9263,Private room,7,0,,,2,323,75
Brooklyn,Williamsburg,40.7069,-73.95467,Private room,17,14,2019-01-07,0.14,4,362,60
Manhattan,East Village,40.72807,-73.98594,Entire home/apt,3,0,,,1,0,200
Brooklyn,Crown Heights,40.6778,-73.94339,Private room,3,279,2019-06-24,2.69,1,301,100
Brooklyn,Bedford-Stuyvesant,40.68317,-73.94701,Private room,4,18,2019-01-02,0.22,4,189,70
Brooklyn,Crown Heights,40.6761,-73.9529,Private room,6,50,2019-05-26,3.55,1,0,110
Brooklyn,Crown Heights,40.67586,-73.95155,Private room,2,227,2019-06-27,2.27,2,287,60
Manhattan,Little Italy,40.71702,-73.99811,Entire home/apt,14,1,2019-01-02,0.16,1,14,90
Manhattan,East Village,40.72321,-73.98157,Private room,2,203,2019-06-23,1.96,2,86,68
Manhattan,Upper West Side,40.77956,-73.98098,Entire home/apt,2,210,2019-07-06,2.1,1,261,115
Brooklyn,Bedford-Stuyvesant,40.68276,-73.95264,Private room,5,64,2019-01-05,0.67,1,68,75
